Step      Train loss    Test loss     Test metric   
102000    [4.87e-06]    [4.77e-06]    [3.52e-02]    
103000    [4.58e-06]    [4.47e-06]    [3.45e-02]    
104000    [4.37e-06]    [4.29e-06]    [3.41e-02]    
105000    [5.17e-06]    [4.99e-06]    [3.57e-02]    
106000    [5.41e-06]    [5.38e-06]    [3.64e-02]    
107000    [4.69e-06]    [4.55e-06]    [3.45e-02]    
108000    [4.48e-06]    [4.41e-06]    [3.42e-02]    
109000    [4.42e-06]    [4.36e-06]    [3.40e-02]    
110000    [4.56e-06]    [4.46e-06]    [3.42e-02]    
111000    [4.30e-06]    [4.22e-06]    [3.36e-02]    
112000    [4.34e-06]    [4.26e-06]    [3.38e-02]    
113000    [4.64e-06]    [4.50e-06]    [3.42e-02]    
114000    [4.26e-06]    [4.19e-06]    [3.34e-02]    
115000    [4.29e-06]    [4.21e-06]    [3.34e-02]    
116000    [4.31e-06]    [4.23e-06]    [3.34e-02]    
117000    [4.24e-06]    [4.17e-06]    [3.32e-02]    
118000    [4.32e-06]    [4.23e-06]    [3.33e-02]    
119000    [4.52e-06]    [4.43e-06]    [3.39e-02]    
120000    [4.20e-06]    [4.08e-06]    [3.29e-02]    
121000    [4.42e-06]    [4.32e-06]    [3.35e-02]    
122000    [4.22e-06]    [4.07e-06]    [3.29e-02]    
123000    [4.32e-06]    [4.25e-06]    [3.32e-02]    
124000    [4.16e-06]    [4.07e-06]    [3.29e-02]    
125000    [4.24e-06]    [4.13e-06]    [3.29e-02]    
126000    [4.06e-06]    [4.00e-06]    [3.25e-02]    
127000    [4.27e-06]    [4.19e-06]    [3.30e-02]    
128000    [4.11e-06]    [4.07e-06]    [3.27e-02]    
129000    [4.20e-06]    [4.14e-06]    [3.28e-02]    
130000    [4.14e-06]    [4.07e-06]    [3.26e-02]    
131000    [4.23e-06]    [4.14e-06]    [3.28e-02]    
132000    [4.52e-06]    [4.42e-06]    [3.34e-02]    
133000    [4.21e-06]    [4.16e-06]    [3.27e-02]    
134000    [4.51e-06]    [4.39e-06]    [3.32e-02]    
135000    [4.09e-06]    [4.02e-06]    [3.23e-02]    
136000    [4.25e-06]    [4.17e-06]    [3.27e-02]    
137000    [4.11e-06]    [4.01e-06]    [3.22e-02]    
138000    [5.18e-06]    [4.93e-06]    [3.44e-02]    
139000    [4.40e-06]    [4.33e-06]    [3.30e-02]    
140000    [4.63e-06]    [4.52e-06]    [3.35e-02]    
141000    [4.51e-06]    [4.40e-06]    [3.30e-02]    
142000    [4.01e-06]    [3.92e-06]    [3.20e-02]    
143000    [3.93e-06]    [3.86e-06]    [3.18e-02]    
144000    [3.89e-06]    [3.82e-06]    [3.17e-02]    
145000    [4.03e-06]    [3.93e-06]    [3.19e-02]    
146000    [3.99e-06]    [3.95e-06]    [3.19e-02]    
147000    [3.95e-06]    [3.85e-06]    [3.17e-02]    
148000    [4.04e-06]    [3.97e-06]    [3.19e-02]    
149000    [4.06e-06]    [3.95e-06]    [3.18e-02]    
150000    [3.89e-06]    [3.84e-06]    [3.15e-02]    
151000    [3.94e-06]    [3.87e-06]    [3.16e-02]    
152000    [3.84e-06]    [3.76e-06]    [3.13e-02]    
153000    [3.84e-06]    [3.79e-06]    [3.14e-02]    
154000    [3.80e-06]    [3.73e-06]    [3.12e-02]    
155000    [4.04e-06]    [3.91e-06]    [3.16e-02]    
156000    [3.94e-06]    [3.88e-06]    [3.15e-02]    
157000    [3.80e-06]    [3.74e-06]    [3.11e-02]    
158000    [3.78e-06]    [3.69e-06]    [3.10e-02]    
159000    [3.94e-06]    [3.85e-06]    [3.13e-02]    
160000    [3.81e-06]    [3.72e-06]    [3.11e-02]    
161000    [3.76e-06]    [3.68e-06]    [3.09e-02]    
162000    [4.15e-06]    [4.06e-06]    [3.19e-02]    
163000    [3.99e-06]    [3.90e-06]    [3.14e-02]    
164000    [3.78e-06]    [3.70e-06]    [3.09e-02]    
165000    [3.75e-06]    [3.68e-06]    [3.09e-02]    
166000    [3.77e-06]    [3.69e-06]    [3.08e-02]    
167000    [3.85e-06]    [3.80e-06]    [3.11e-02]    
168000    [3.96e-06]    [3.91e-06]    [3.14e-02]    
169000    [3.79e-06]    [3.71e-06]    [3.09e-02]    
170000    [3.70e-06]    [3.63e-06]    [3.07e-02]    
171000    [3.72e-06]    [3.65e-06]    [3.07e-02]    
172000    [3.74e-06]    [3.67e-06]    [3.07e-02]    
173000    [3.80e-06]    [3.75e-06]    [3.09e-02]    
174000    [3.69e-06]    [3.61e-06]    [3.04e-02]    
175000    [3.64e-06]    [3.59e-06]    [3.04e-02]    
176000    [3.74e-06]    [3.64e-06]    [3.05e-02]    
177000    [3.68e-06]    [3.63e-06]    [3.04e-02]    
178000    [3.66e-06]    [3.59e-06]    [3.03e-02]    
179000    [3.65e-06]    [3.59e-06]    [3.04e-02]    
