Step      Train loss    Test loss     Test metric   
102000    [1.54e-02]    [1.54e-02]    [2.80e-01]    
103000    [1.55e-02]    [1.54e-02]    [2.80e-01]    
104000    [1.54e-02]    [1.53e-02]    [2.79e-01]    
105000    [1.53e-02]    [1.53e-02]    [2.79e-01]    
106000    [1.53e-02]    [1.52e-02]    [2.78e-01]    
107000    [1.52e-02]    [1.52e-02]    [2.78e-01]    
108000    [1.52e-02]    [1.52e-02]    [2.77e-01]    
109000    [1.53e-02]    [1.53e-02]    [2.78e-01]    
110000    [1.53e-02]    [1.53e-02]    [2.78e-01]    
111000    [1.51e-02]    [1.50e-02]    [2.76e-01]    
112000    [1.51e-02]    [1.50e-02]    [2.75e-01]    
113000    [1.51e-02]    [1.50e-02]    [2.75e-01]    
114000    [1.50e-02]    [1.49e-02]    [2.75e-01]    
115000    [1.51e-02]    [1.50e-02]    [2.75e-01]    
116000    [1.49e-02]    [1.48e-02]    [2.73e-01]    
117000    [1.51e-02]    [1.50e-02]    [2.74e-01]    
118000    [1.48e-02]    [1.48e-02]    [2.73e-01]    
119000    [1.48e-02]    [1.47e-02]    [2.73e-01]    
120000    [1.49e-02]    [1.48e-02]    [2.73e-01]    
121000    [1.47e-02]    [1.47e-02]    [2.73e-01]    
122000    [1.47e-02]    [1.46e-02]    [2.72e-01]    
123000    [1.47e-02]    [1.47e-02]    [2.72e-01]    
124000    [1.47e-02]    [1.46e-02]    [2.72e-01]    
125000    [1.47e-02]    [1.47e-02]    [2.72e-01]    
126000    [1.45e-02]    [1.45e-02]    [2.71e-01]    
127000    [1.45e-02]    [1.45e-02]    [2.70e-01]    
128000    [1.45e-02]    [1.44e-02]    [2.70e-01]    
129000    [1.44e-02]    [1.45e-02]    [2.70e-01]    
130000    [1.44e-02]    [1.44e-02]    [2.70e-01]    
131000    [1.44e-02]    [1.44e-02]    [2.70e-01]    
132000    [1.43e-02]    [1.44e-02]    [2.69e-01]    
133000    [1.42e-02]    [1.43e-02]    [2.69e-01]    
134000    [1.44e-02]    [1.45e-02]    [2.70e-01]    
135000    [1.42e-02]    [1.43e-02]    [2.68e-01]    
136000    [1.41e-02]    [1.42e-02]    [2.68e-01]    
137000    [1.41e-02]    [1.42e-02]    [2.68e-01]    
138000    [1.41e-02]    [1.42e-02]    [2.67e-01]    
139000    [1.40e-02]    [1.42e-02]    [2.67e-01]    
140000    [1.41e-02]    [1.42e-02]    [2.67e-01]    
141000    [1.40e-02]    [1.41e-02]    [2.66e-01]    
142000    [1.40e-02]    [1.41e-02]    [2.66e-01]    
143000    [1.39e-02]    [1.41e-02]    [2.66e-01]    
144000    [1.38e-02]    [1.40e-02]    [2.65e-01]    
145000    [1.38e-02]    [1.40e-02]    [2.65e-01]    
146000    [1.38e-02]    [1.40e-02]    [2.64e-01]    
147000    [1.38e-02]    [1.39e-02]    [2.64e-01]    
148000    [1.37e-02]    [1.39e-02]    [2.63e-01]    
149000    [1.38e-02]    [1.40e-02]    [2.64e-01]    
150000    [1.37e-02]    [1.39e-02]    [2.64e-01]    
151000    [1.36e-02]    [1.38e-02]    [2.63e-01]    
152000    [1.35e-02]    [1.38e-02]    [2.62e-01]    
153000    [1.35e-02]    [1.37e-02]    [2.62e-01]    
154000    [1.36e-02]    [1.38e-02]    [2.63e-01]    
155000    [1.35e-02]    [1.37e-02]    [2.62e-01]    
156000    [1.34e-02]    [1.36e-02]    [2.61e-01]    
157000    [1.34e-02]    [1.37e-02]    [2.61e-01]    
158000    [1.33e-02]    [1.36e-02]    [2.60e-01]    
159000    [1.34e-02]    [1.37e-02]    [2.61e-01]    
