Epoch Train_Loss Train_l2 Test_l2
0 1.010e-03 2.4665 1.3052
1000 3.906e-06 0.1425 1.3952
2000 2.325e-06 0.1178 1.4112
3000 1.493e-06 0.0872 1.4081
4000 1.193e-06 0.0797 1.4068
5000 1.064e-06 0.0768 1.4057
6000 9.931e-07 0.0750 1.4063
7000 9.544e-07 0.0739 1.4059
8000 9.317e-07 0.0733 1.4063
9000 9.194e-07 0.0730 1.4061
10000 9.126e-07 0.0728 1.4062
11000 9.089e-07 0.0727 1.4063
12000 9.069e-07 0.0726 1.4062
