Step      Train loss    Test loss     Test metric   
102000    [1.13e-02]    [1.24e-02]    [1.42e-01]    
103000    [1.12e-02]    [1.23e-02]    [1.41e-01]    
104000    [1.11e-02]    [1.23e-02]    [1.41e-01]    
105000    [1.11e-02]    [1.22e-02]    [1.41e-01]    
106000    [1.10e-02]    [1.22e-02]    [1.41e-01]    
107000    [1.10e-02]    [1.21e-02]    [1.41e-01]    
108000    [1.09e-02]    [1.21e-02]    [1.40e-01]    
109000    [1.10e-02]    [1.22e-02]    [1.41e-01]    
110000    [1.09e-02]    [1.21e-02]    [1.40e-01]    
111000    [1.09e-02]    [1.21e-02]    [1.40e-01]    
112000    [1.08e-02]    [1.19e-02]    [1.39e-01]    
113000    [1.08e-02]    [1.19e-02]    [1.39e-01]    
114000    [1.07e-02]    [1.19e-02]    [1.39e-01]    
115000    [1.07e-02]    [1.18e-02]    [1.39e-01]    
116000    [1.07e-02]    [1.19e-02]    [1.39e-01]    
117000    [1.07e-02]    [1.18e-02]    [1.38e-01]    
118000    [1.06e-02]    [1.18e-02]    [1.38e-01]    
119000    [1.06e-02]    [1.17e-02]    [1.38e-01]    
120000    [1.05e-02]    [1.16e-02]    [1.38e-01]    
121000    [1.05e-02]    [1.16e-02]    [1.37e-01]    
122000    [1.04e-02]    [1.15e-02]    [1.37e-01]    
123000    [1.05e-02]    [1.16e-02]    [1.37e-01]    
124000    [1.06e-02]    [1.16e-02]    [1.37e-01]    
125000    [1.04e-02]    [1.15e-02]    [1.37e-01]    
126000    [1.04e-02]    [1.15e-02]    [1.37e-01]    
127000    [1.03e-02]    [1.14e-02]    [1.36e-01]    
128000    [1.03e-02]    [1.13e-02]    [1.36e-01]    
129000    [1.02e-02]    [1.13e-02]    [1.35e-01]    
130000    [1.02e-02]    [1.12e-02]    [1.35e-01]    
131000    [1.02e-02]    [1.12e-02]    [1.35e-01]    
132000    [1.05e-02]    [1.15e-02]    [1.36e-01]    
133000    [1.01e-02]    [1.11e-02]    [1.34e-01]    
134000    [1.01e-02]    [1.11e-02]    [1.34e-01]    
135000    [1.01e-02]    [1.10e-02]    [1.34e-01]    
136000    [1.00e-02]    [1.10e-02]    [1.34e-01]    
137000    [9.99e-03]    [1.09e-02]    [1.33e-01]    
138000    [9.99e-03]    [1.09e-02]    [1.33e-01]    
139000    [9.99e-03]    [1.09e-02]    [1.33e-01]    
140000    [9.87e-03]    [1.08e-02]    [1.33e-01]    
141000    [9.82e-03]    [1.07e-02]    [1.32e-01]    
142000    [9.72e-03]    [1.06e-02]    [1.32e-01]    
143000    [9.74e-03]    [1.06e-02]    [1.32e-01]    
144000    [9.73e-03]    [1.06e-02]    [1.32e-01]    
145000    [9.65e-03]    [1.05e-02]    [1.31e-01]    
146000    [9.60e-03]    [1.04e-02]    [1.31e-01]    
147000    [9.63e-03]    [1.04e-02]    [1.31e-01]    
148000    [9.59e-03]    [1.04e-02]    [1.31e-01]    
149000    [9.51e-03]    [1.03e-02]    [1.30e-01]    
150000    [9.53e-03]    [1.03e-02]    [1.30e-01]    
151000    [9.51e-03]    [1.03e-02]    [1.30e-01]    
152000    [9.41e-03]    [1.02e-02]    [1.29e-01]    
153000    [9.36e-03]    [1.01e-02]    [1.29e-01]    
154000    [9.32e-03]    [1.01e-02]    [1.29e-01]    
155000    [9.30e-03]    [1.00e-02]    [1.29e-01]    
156000    [9.27e-03]    [1.00e-02]    [1.29e-01]    
157000    [9.29e-03]    [1.00e-02]    [1.28e-01]    
158000    [9.18e-03]    [9.91e-03]    [1.28e-01]    
159000    [9.19e-03]    [9.91e-03]    [1.28e-01]    
160000    [9.13e-03]    [9.84e-03]    [1.27e-01]    
161000    [9.12e-03]    [9.84e-03]    [1.27e-01]    
162000    [9.12e-03]    [9.83e-03]    [1.27e-01]    
163000    [9.04e-03]    [9.72e-03]    [1.27e-01]    
164000    [9.01e-03]    [9.69e-03]    [1.27e-01]    
165000    [9.04e-03]    [9.72e-03]    [1.27e-01]    
166000    [8.97e-03]    [9.64e-03]    [1.26e-01]    
167000    [8.97e-03]    [9.63e-03]    [1.26e-01]    
168000    [8.95e-03]    [9.60e-03]    [1.26e-01]    
169000    [8.93e-03]    [9.58e-03]    [1.26e-01]    
170000    [8.91e-03]    [9.54e-03]    [1.26e-01]    
171000    [8.89e-03]    [9.53e-03]    [1.26e-01]    
172000    [8.82e-03]    [9.45e-03]    [1.25e-01]    
173000    [8.80e-03]    [9.41e-03]    [1.25e-01]    
174000    [8.78e-03]    [9.40e-03]    [1.25e-01]    
175000    [8.75e-03]    [9.36e-03]    [1.25e-01]    
176000    [8.76e-03]    [9.36e-03]    [1.25e-01]    
177000    [8.81e-03]    [9.40e-03]    [1.25e-01]    
178000    [8.71e-03]    [9.31e-03]    [1.24e-01]    
179000    [8.68e-03]    [9.26e-03]    [1.24e-01]    
180000    [8.64e-03]    [9.22e-03]    [1.24e-01]    
181000    [8.63e-03]    [9.20e-03]    [1.24e-01]    
182000    [8.61e-03]    [9.18e-03]    [1.24e-01]    
183000    [8.60e-03]    [9.17e-03]    [1.24e-01]    
184000    [8.65e-03]    [9.20e-03]    [1.24e-01]    
185000    [8.55e-03]    [9.10e-03]    [1.23e-01]    
186000    [8.60e-03]    [9.15e-03]    [1.23e-01]    
187000    [8.51e-03]    [9.06e-03]    [1.23e-01]    
188000    [8.49e-03]    [9.03e-03]    [1.23e-01]    
189000    [8.46e-03]    [9.01e-03]    [1.23e-01]    
190000    [8.50e-03]    [9.04e-03]    [1.23e-01]    
191000    [8.41e-03]    [8.95e-03]    [1.22e-01]    
192000    [8.40e-03]    [8.94e-03]    [1.22e-01]    
193000    [8.42e-03]    [8.95e-03]    [1.22e-01]    
194000    [8.37e-03]    [8.91e-03]    [1.22e-01]    
195000    [8.38e-03]    [8.91e-03]    [1.22e-01]    
196000    [8.34e-03]    [8.88e-03]    [1.22e-01]    
197000    [8.29e-03]    [8.81e-03]    [1.22e-01]    
198000    [8.28e-03]    [8.81e-03]    [1.22e-01]    
199000    [8.28e-03]    [8.80e-03]    [1.21e-01]    
200000    [8.24e-03]    [8.76e-03]    [1.21e-01]    
201000    [8.23e-03]    [8.74e-03]    [1.21e-01]    
202000    [8.19e-03]    [8.70e-03]    [1.21e-01]    
203000    [8.18e-03]    [8.67e-03]    [1.21e-01]    
204000    [8.15e-03]    [8.65e-03]    [1.21e-01]    
205000    [8.14e-03]    [8.65e-03]    [1.21e-01]    
206000    [8.13e-03]    [8.63e-03]    [1.20e-01]    
207000    [8.14e-03]    [8.63e-03]    [1.20e-01]    
208000    [8.07e-03]    [8.55e-03]    [1.20e-01]    
209000    [8.07e-03]    [8.54e-03]    [1.20e-01]    
210000    [8.04e-03]    [8.51e-03]    [1.20e-01]    
211000    [8.03e-03]    [8.50e-03]    [1.20e-01]    
212000    [8.06e-03]    [8.52e-03]    [1.20e-01]    
213000    [8.00e-03]    [8.46e-03]    [1.20e-01]    
214000    [7.97e-03]    [8.41e-03]    [1.19e-01]    
215000    [7.95e-03]    [8.40e-03]    [1.19e-01]    
216000    [7.94e-03]    [8.38e-03]    [1.19e-01]    
217000    [7.93e-03]    [8.37e-03]    [1.19e-01]    
218000    [7.88e-03]    [8.32e-03]    [1.19e-01]    
219000    [7.87e-03]    [8.30e-03]    [1.19e-01]    
220000    [7.85e-03]    [8.28e-03]    [1.18e-01]    
221000    [7.85e-03]    [8.28e-03]    [1.18e-01]    
222000    [7.82e-03]    [8.24e-03]    [1.18e-01]    
223000    [7.81e-03]    [8.22e-03]    [1.18e-01]    
224000    [7.78e-03]    [8.19e-03]    [1.18e-01]    
225000    [7.91e-03]    [8.32e-03]    [1.19e-01]    
226000    [7.74e-03]    [8.14e-03]    [1.18e-01]    
227000    [7.74e-03]    [8.13e-03]    [1.18e-01]    
228000    [7.78e-03]    [8.18e-03]    [1.18e-01]    
229000    [7.71e-03]    [8.10e-03]    [1.17e-01]    
230000    [7.70e-03]    [8.09e-03]    [1.17e-01]    
