Epoch Train_Loss Train_l2 Test_l2
970 2.078e-04 1.0843 1.4126
980 2.078e-04 1.0843 1.4126
990 2.078e-04 1.0843 1.4126
1000 2.078e-04 1.0843 1.4126
1010 2.078e-04 1.0843 1.4126
1020 2.078e-04 1.0843 1.4126
1030 2.078e-04 1.0843 1.4126
1040 2.078e-04 1.0843 1.4126
1050 2.078e-04 1.0843 1.4126
1060 2.078e-04 1.0843 1.4126
1070 2.078e-04 1.0843 1.4126
1080 2.078e-04 1.0843 1.4126
1090 2.078e-04 1.0843 1.4126
1100 2.078e-04 1.0843 1.4126
1110 2.078e-04 1.0843 1.4126
1120 2.078e-04 1.0843 1.4126
1130 2.078e-04 1.0843 1.4126
1140 2.078e-04 1.0843 1.4126
1150 2.078e-04 1.0843 1.4126
1160 2.078e-04 1.0843 1.4126
1170 2.078e-04 1.0843 1.4126
1180 2.078e-04 1.0843 1.4126
1190 2.078e-04 1.0843 1.4126
1200 2.078e-04 1.0843 1.4126
1210 2.078e-04 1.0843 1.4126
1220 2.078e-04 1.0843 1.4126
1230 2.078e-04 1.0843 1.4126
1240 2.078e-04 1.0843 1.4126
1250 2.078e-04 1.0843 1.4126
1260 2.078e-04 1.0843 1.4126
1270 2.078e-04 1.0843 1.4126
1280 2.078e-04 1.0843 1.4126
1290 2.078e-04 1.0843 1.4126
1300 2.078e-04 1.0843 1.4126
1310 2.078e-04 1.0843 1.4126
1320 2.078e-04 1.0843 1.4126
1330 2.078e-04 1.0843 1.4126
1340 2.078e-04 1.0843 1.4126
1350 2.078e-04 1.0843 1.4126
1360 2.078e-04 1.0843 1.4126
1370 2.078e-04 1.0843 1.4126
1380 2.078e-04 1.0843 1.4126
1390 2.078e-04 1.0843 1.4126
1400 2.078e-04 1.0843 1.4126
1410 2.078e-04 1.0843 1.4126
1420 2.078e-04 1.0843 1.4126
1430 2.078e-04 1.0843 1.4126
1440 2.078e-04 1.0843 1.4126
1450 2.078e-04 1.0843 1.4126
1460 2.078e-04 1.0843 1.4126
1470 2.078e-04 1.0843 1.4126
1480 2.078e-04 1.0843 1.4126
1490 2.078e-04 1.0843 1.4126
1500 2.078e-04 1.0843 1.4126
1510 2.078e-04 1.0843 1.4126
1520 2.078e-04 1.0843 1.4126
1530 2.078e-04 1.0843 1.4126
1540 2.078e-04 1.0843 1.4126
1550 2.078e-04 1.0843 1.4126
1560 2.078e-04 1.0843 1.4126
1570 2.078e-04 1.0843 1.4126
1580 2.078e-04 1.0843 1.4126
1590 2.078e-04 1.0843 1.4126
1600 2.078e-04 1.0843 1.4126
1610 2.078e-04 1.0843 1.4126
1620 2.078e-04 1.0843 1.4126
1630 2.078e-04 1.0843 1.4126
1640 2.078e-04 1.0843 1.4126
1650 2.078e-04 1.0843 1.4126
1660 2.078e-04 1.0843 1.4126
1670 2.078e-04 1.0843 1.4126
1680 2.078e-04 1.0843 1.4126
1690 2.078e-04 1.0843 1.4126
1700 2.078e-04 1.0843 1.4126
1710 2.078e-04 1.0843 1.4126
1720 2.078e-04 1.0843 1.4126
1730 2.078e-04 1.0843 1.4126
1740 2.078e-04 1.0843 1.4126
1750 2.078e-04 1.0843 1.4126
1760 2.078e-04 1.0843 1.4126
1770 2.078e-04 1.0843 1.4126
1780 2.078e-04 1.0843 1.4126
1790 2.078e-04 1.0843 1.4126
1800 2.078e-04 1.0843 1.4126
1810 2.078e-04 1.0843 1.4126
1820 2.078e-04 1.0843 1.4126
1830 2.078e-04 1.0843 1.4126
1840 2.078e-04 1.0843 1.4126
1850 2.078e-04 1.0843 1.4126
1860 2.078e-04 1.0843 1.4126
1870 2.078e-04 1.0843 1.4126
1880 2.078e-04 1.0843 1.4126
1890 2.078e-04 1.0843 1.4126
1900 2.078e-04 1.0843 1.4126
1910 2.078e-04 1.0843 1.4126
1920 2.078e-04 1.0843 1.4126
1930 2.078e-04 1.0843 1.4126
1940 2.078e-04 1.0843 1.4126
1950 2.078e-04 1.0843 1.4126
1960 2.078e-04 1.0843 1.4126
1970 2.078e-04 1.0843 1.4126
1980 2.078e-04 1.0843 1.4126
1990 2.078e-04 1.0843 1.4126
2000 2.078e-04 1.0843 1.4126
2010 2.078e-04 1.0843 1.4126
2020 2.078e-04 1.0843 1.4126
2030 2.078e-04 1.0843 1.4126
2040 2.078e-04 1.0843 1.4126
2050 2.078e-04 1.0843 1.4126
2060 2.078e-04 1.0843 1.4126
2070 2.078e-04 1.0843 1.4126
2080 2.078e-04 1.0843 1.4126
2090 2.078e-04 1.0843 1.4126
2100 2.078e-04 1.0843 1.4126
2110 2.078e-04 1.0843 1.4126
2120 2.078e-04 1.0843 1.4126
2130 2.078e-04 1.0843 1.4126
2140 2.078e-04 1.0843 1.4126
2150 2.078e-04 1.0843 1.4126
2160 2.078e-04 1.0843 1.4126
2170 2.078e-04 1.0843 1.4126
2180 2.078e-04 1.0843 1.4126
2190 2.078e-04 1.0843 1.4126
2200 2.078e-04 1.0843 1.4126
2210 2.078e-04 1.0843 1.4126
2220 2.078e-04 1.0843 1.4126
2230 2.078e-04 1.0843 1.4126
2240 2.078e-04 1.0843 1.4126
2250 2.078e-04 1.0843 1.4126
2260 2.078e-04 1.0843 1.4126
2270 2.078e-04 1.0843 1.4126
2280 2.078e-04 1.0843 1.4126
2290 2.078e-04 1.0843 1.4126
2300 2.078e-04 1.0843 1.4126
2310 2.078e-04 1.0843 1.4126
2320 2.078e-04 1.0843 1.4126
2330 2.078e-04 1.0843 1.4126
2340 2.078e-04 1.0843 1.4126
2350 2.078e-04 1.0843 1.4126
2360 2.078e-04 1.0843 1.4126
2370 2.078e-04 1.0843 1.4126
2380 2.078e-04 1.0843 1.4126
2390 2.078e-04 1.0843 1.4126
2400 2.078e-04 1.0843 1.4126
2410 2.078e-04 1.0843 1.4126
2420 2.078e-04 1.0843 1.4126
2430 2.078e-04 1.0843 1.4126
2440 2.078e-04 1.0843 1.4126
2450 2.078e-04 1.0843 1.4126
2460 2.078e-04 1.0843 1.4126
2470 2.078e-04 1.0843 1.4126
2480 2.078e-04 1.0843 1.4126
2490 2.078e-04 1.0843 1.4126
