Step      Train loss    Test loss     Test metric   
102000    [2.15e-06]    [2.12e-06]    [7.43e-02]    
103000    [2.15e-06]    [2.12e-06]    [7.41e-02]    
104000    [2.27e-06]    [2.22e-06]    [7.48e-02]    
105000    [2.22e-06]    [2.21e-06]    [7.44e-02]    
106000    [2.09e-06]    [2.06e-06]    [7.29e-02]    
107000    [2.35e-06]    [2.33e-06]    [7.51e-02]    
108000    [2.07e-06]    [2.04e-06]    [7.22e-02]    
109000    [2.05e-06]    [2.02e-06]    [7.22e-02]    
110000    [2.28e-06]    [2.26e-06]    [7.42e-02]    
111000    [2.08e-06]    [2.05e-06]    [7.18e-02]    
112000    [2.01e-06]    [1.99e-06]    [7.12e-02]    
113000    [2.03e-06]    [2.00e-06]    [7.13e-02]    
114000    [1.97e-06]    [1.94e-06]    [7.04e-02]    
115000    [1.98e-06]    [1.95e-06]    [7.07e-02]    
116000    [2.29e-06]    [2.25e-06]    [7.34e-02]    
117000    [1.97e-06]    [1.95e-06]    [7.03e-02]    
118000    [1.98e-06]    [1.96e-06]    [7.02e-02]    
119000    [1.98e-06]    [1.95e-06]    [7.02e-02]    
120000    [2.09e-06]    [2.05e-06]    [7.09e-02]    
121000    [2.00e-06]    [1.97e-06]    [6.99e-02]    
122000    [1.89e-06]    [1.86e-06]    [6.90e-02]    
123000    [1.93e-06]    [1.89e-06]    [6.91e-02]    
124000    [1.88e-06]    [1.86e-06]    [6.86e-02]    
125000    [1.98e-06]    [1.94e-06]    [6.94e-02]    
126000    [1.97e-06]    [1.94e-06]    [6.92e-02]    
127000    [2.06e-06]    [2.02e-06]    [7.03e-02]    
128000    [1.99e-06]    [1.96e-06]    [6.95e-02]    
129000    [2.17e-06]    [2.16e-06]    [7.16e-02]    
130000    [1.82e-06]    [1.79e-06]    [6.75e-02]    
131000    [1.83e-06]    [1.82e-06]    [6.76e-02]    
132000    [1.81e-06]    [1.77e-06]    [6.72e-02]    
133000    [1.89e-06]    [1.88e-06]    [6.82e-02]    
134000    [1.93e-06]    [1.94e-06]    [6.87e-02]    
135000    [1.80e-06]    [1.79e-06]    [6.71e-02]    
136000    [1.78e-06]    [1.75e-06]    [6.65e-02]    
137000    [1.78e-06]    [1.76e-06]    [6.67e-02]    
138000    [1.83e-06]    [1.80e-06]    [6.72e-02]    
139000    [1.85e-06]    [1.86e-06]    [6.73e-02]    
140000    [1.75e-06]    [1.71e-06]    [6.61e-02]    
141000    [1.76e-06]    [1.74e-06]    [6.63e-02]    
142000    [1.77e-06]    [1.76e-06]    [6.65e-02]    
143000    [1.80e-06]    [1.79e-06]    [6.67e-02]    
144000    [1.76e-06]    [1.72e-06]    [6.64e-02]    
145000    [1.70e-06]    [1.67e-06]    [6.53e-02]    
146000    [1.72e-06]    [1.70e-06]    [6.57e-02]    
147000    [1.75e-06]    [1.71e-06]    [6.59e-02]    
148000    [1.84e-06]    [1.82e-06]    [6.69e-02]    
149000    [1.72e-06]    [1.68e-06]    [6.54e-02]    
